encounter_name,party_level,party_size,predicted_difficulty,actual_difficulty,monster_count,total_monster_xp,adjusted_xp,rounds,lasted_too_long,players_downed,players_killed,major_resource_drain,terrain_helped_players,terrain_helped_monsters,player_synergy_tags,monster_weakness_tags,notes,party_thresholds
intro_magic_castle_inner_castle_difficulty,3.0,4,medium,???,6,400,800,???,???,???,???,???,???,???,???,???,???,"{'easy': 300, 'medium': 600, 'hard': 900, 'deadly': 1600}"
intro_magic_castle_tower_of_power_difficulty,3.0,4,easy,???,1,450,450,???,???,???,???,???,???,???,???,???,???,"{'easy': 300, 'medium': 600, 'hard': 900, 'deadly': 1600}"
intro_magic_castle_tower_of_faith_difficulty,3.0,4,deadly,???,9,3300,8250.0,???,???,???,???,???,???,???,???,???,???,"{'easy': 300, 'medium': 600, 'hard': 900, 'deadly': 1600}"
turtle_hideout_lvl_1_encounter_difficulty,4.0,4,medium,???,8,400,1000.0,???,???,???,???,???,???,???,???,???,???,"{'easy': 500, 'medium': 1000, 'hard': 1500, 'deadly': 2000}"
turtle_hideout_lvl_2_encounter_difficulty,4.0,4,medium,???,8,550,1375.0,???,???,???,???,???,???,???,???,???,???,"{'easy': 500, 'medium': 1000, 'hard': 1500, 'deadly': 2000}"
turtle_hideout_lvl_3_encounter_difficulty,4.0,4,easy,???,4,300,600,???,???,???,???,???,???,???,???,???,???,"{'easy': 500, 'medium': 1000, 'hard': 1500, 'deadly': 2000}"
turtle_hideout_boss_difficulty,4.0,4,medium,???,1,1100,1100,???,???,???,???,???,???,???,???,???,???,"{'easy': 500, 'medium': 1000, 'hard': 1500, 'deadly': 2000}"
hags_smoke_break,5.0,4,hard,???,3,2100,4200,???,???,???,???,???,???,???,???,???,???,"{'easy': 1000, 'medium': 2000, 'hard': 3000, 'deadly': 4400}"
mainframe_room,5.0,4,deadly,???,11,4800,14400,???,???,???,???,???,???,???,???,???,???,"{'easy': 1000, 'medium': 2000, 'hard': 3000, 'deadly': 4400}"
office_room,5.0,4,deadly,???,1,5000,5000,???,???,???,???,???,???,???,???,???,???,"{'easy': 1000, 'medium': 2000, 'hard': 3000, 'deadly': 4400}"
break_room,5.0,4,hard,???,2,2500,3750.0,???,???,???,???,???,???,???,???,???,???,"{'easy': 1000, 'medium': 2000, 'hard': 3000, 'deadly': 4400}"
dining_room,5.0,4,hard,???,2,2000,3000.0,???,???,???,???,???,???,???,???,???,???,"{'easy': 1000, 'medium': 2000, 'hard': 3000, 'deadly': 4400}"
kitchen,5.0,4,hard,???,7,1400,3500.0,???,???,???,???,???,???,???,???,???,???,"{'easy': 1000, 'medium': 2000, 'hard': 3000, 'deadly': 4400}"
movie_room,5.0,4,medium,???,6,1200,2400,???,???,???,???,???,???,???,???,???,???,"{'easy': 1000, 'medium': 2000, 'hard': 3000, 'deadly': 4400}"
teal_key,5.0,4,trivial,???,1,700,700,???,???,???,???,???,???,???,???,???,???,"{'easy': 1000, 'medium': 2000, 'hard': 3000, 'deadly': 4400}"
bottom_left_conference_room,5.0,4,deadly,???,5,2500,5000,???,???,???,???,???,???,???,???,???,???,"{'easy': 1000, 'medium': 2000, 'hard': 3000, 'deadly': 4400}"
flower_conference_room,5.0,4,trivial,???,4,400,800,???,???,???,???,???,???,???,???,???,???,"{'easy': 1000, 'medium': 2000, 'hard': 3000, 'deadly': 4400}"
barracks,5.0,4,medium,???,3,1350,2700,???,???,???,???,???,???,???,???,???,???,"{'easy': 1000, 'medium': 2000, 'hard': 3000, 'deadly': 4400}"
intro_the_magic_spire_hags_smoke_break,5.0,4,hard,???,3,2100,4200,???,???,???,???,???,???,???,???,???,???,"{'easy': 1000, 'medium': 2000, 'hard': 3000, 'deadly': 4400}"
intro_the_magic_spire_mainframe_room,5.0,4,deadly,???,11,4800,14400,???,???,???,???,???,???,???,???,???,???,"{'easy': 1000, 'medium': 2000, 'hard': 3000, 'deadly': 4400}"
intro_the_magic_spire_office_room,5.0,4,deadly,???,1,5000,5000,???,???,???,???,???,???,???,???,???,???,"{'easy': 1000, 'medium': 2000, 'hard': 3000, 'deadly': 4400}"
intro_the_magic_spire_break_room,5.0,4,hard,???,2,2500,3750.0,???,???,???,???,???,???,???,???,???,???,"{'easy': 1000, 'medium': 2000, 'hard': 3000, 'deadly': 4400}"
intro_the_magic_spire_dining_room,5.0,4,hard,???,2,2000,3000.0,???,???,???,???,???,???,???,???,???,???,"{'easy': 1000, 'medium': 2000, 'hard': 3000, 'deadly': 4400}"
intro_the_magic_spire_kitchen,5.0,4,hard,???,7,1400,3500.0,???,???,???,???,???,???,???,???,???,???,"{'easy': 1000, 'medium': 2000, 'hard': 3000, 'deadly': 4400}"
intro_the_magic_spire_movie_room,5.0,4,medium,???,6,1200,2400,???,???,???,???,???,???,???,???,???,???,"{'easy': 1000, 'medium': 2000, 'hard': 3000, 'deadly': 4400}"
intro_the_magic_spire_teal_key,5.0,4,trivial,???,1,700,700,???,???,???,???,???,???,???,???,???,???,"{'easy': 1000, 'medium': 2000, 'hard': 3000, 'deadly': 4400}"
intro_the_magic_spire_bottom_left_conference_room,5.0,4,deadly,???,5,2500,5000,???,???,???,???,???,???,???,???,???,???,"{'easy': 1000, 'medium': 2000, 'hard': 3000, 'deadly': 4400}"
intro_the_magic_spire_flower_conference_room,5.0,4,trivial,???,4,400,800,???,???,???,???,???,???,???,???,???,???,"{'easy': 1000, 'medium': 2000, 'hard': 3000, 'deadly': 4400}"
intro_the_magic_spire_barracks,5.0,4,medium,???,3,1350,2700,???,???,???,???,???,???,???,???,???,???,"{'easy': 1000, 'medium': 2000, 'hard': 3000, 'deadly': 4400}"
